risk_level,risk_name,count,percentage,avg_temp_max,min_temp_max,max_temp_max,avg_wind,min_wind,max_wind,avg_rain,min_rain,max_rain
0,GREEN 🟢,1988,56.04736396955173,20.401162790697676,7.9,30.0,21.547573306370072,5.5,39.4,0.7892457027300303,0.0,16.913
1,YELLOW 🟡,1324,37.3273188610093,29.779607250755284,8.8,40.0,25.82296072507553,9.3,68.0,1.077050604229607,0.0,34.3
2,ORANGE 🟠,230,6.4843529743445165,37.45130434782608,11.1,48.9,26.06304347826087,13.8,87.3,2.3468043478260876,0.0,93.274
3,RED 🔴,5,0.140964195094446,37.74,32.0,44.9,40.36,29.4,47.6,25.409600000000005,0.0,65.141
